pan_transcriptome_size	genes_pan	hard_core_transcriptome_size	genes_hard_core	soft_core_transcriptome_size	genes_soft_core	accessory_transcriptome_size	genes_accessory	exclusive_transcriptome_size	genes_exclusive	number_genotypes	n_sample
287959	1504759	57	2010	0	0	286508	1465338	101815	0	10	4
342231	2342413	559	21124	0	0	330990	1945454	47543	0	10	5
331833	2218025	605	21116	0	0	319656	1806812	57941	0	10	6
335344	2185279	554	18835	0	0	323683	1806176	54430	0	10	7
341599	2491261	123	5364	0	0	340795	2465284	48175	0	10	8
282098	1585544	1236	39740	0	0	271126	1212201	107676	0	10	9
331907	2187139	524	18136	0	0	320747	1818315	57867	0	10	10
334406	2094588	71	3016	0	0	333776	2073825	55368	0	10	11
336131	2116432	101	4039	0	0	334217	2060773	53643	0	10	12
344026	2301246	58	2343	0	0	343384	2282327	45748	0	10	13
313640	1741580	112	4586	0	0	302419	1365546	76134	0	10	14
331898	2230922	593	19929	0	0	319571	1842905	57876	0	10	15
328127	2042528	81	3133	0	0	326400	1993244	61647	0	10	16
331941	2099550	86	3584	0	0	331428	2083079	57833	0	10	17
306064	1674791	76	2923	0	0	295746	1340332	83710	0	10	18
329583	1882952	258	7922	0	0	327842	1838709	60191	0	10	19
314441	1795270	62	2515	488	16006	313891	1776749	75333	0	11	0
349939	2514408	251	9624	1466	43824	348222	2460960	39835	0	11	1
329909	2117494	363	12524	1853	55190	327693	2049780	59865	0	11	2
299530	1807182	494	18096	10486	382141	288550	1406945	90244	0	11	3
305896	1975176	607	21961	11873	458822	293416	1494393	83878	0	11	4
329126	2038229	95	4378	10644	418472	318387	1615379	60648	0	11	5
311797	1714405	65	2425	556	16524	311176	1695456	77977	0	11	6
293373	1866679	1545	54791	10672	415398	281156	1396490	96401	0	11	7
319561	1873058	57	2510	485	16845	319019	1853703	70213	0	11	8
331889	2225203	390	14292	2064	65896	329435	2145015	57885	0	11	9
340777	2044683	55	2371	295	9484	340427	2032828	48997	0	11	10
352787	2690651	126	5558	601	19830	352060	2665263	36987	0	11	11
316931	1982284	101	4290	11388	436357	305442	1541637	72843	0	11	12
337461	2451373	603	24292	11554	455014	325304	1972067	52313	0	11	13
351767	2563337	99	4650	512	16622	351156	2542065	38007	0	11	14
240972	1540016	79	3270	10959	409914	229934	1126832	148802	0	11	15
322506	1842746	66	2628	512	16507	321928	1823611	67268	0	11	16
321351	1912134	88	3859	10605	408967	310658	1499308	68423	0	11	17
334877	2174950	1274	45527	9828	360579	323775	1768844	54897	0	11	18
301569	1735103	72	3044	1330	44454	300167	1687605	88205	0	11	19
348615	2490503	478	20428	10027	416248	338110	2053827	41159	0	12	0
346265	2394518	62	3184	551	21396	345652	2369938	43509	0	12	1
347632	2717248	335	14167	1803	62712	345494	2640369	42142	0	12	2
231087	1469138	55	2358	9208	369008	221824	1097772	158687	0	12	3
323311	2010634	82	3885	10118	416874	313111	1589875	66463	0	12	4
294571	1749055	1220	44401	9285	357621	284066	1347033	95203	0	12	5
328029	2095578	64	3367	9596	417959	318369	1674252	61745	0	12	6
349725	2259463	54	2555	280	10509	349391	2246399	40049	0	12	7
330482	2047845	58	2714	499	18870	329925	2026261	59292	0	12	8
327835	2142193	83	3959	10585	445067	317167	1693167	61939	0	12	9
325786	2030768	75	3169	605	20522	325106	2007077	63988	0	12	10
330618	2316431	352	13311	1912	65187	328354	2237933	59156	0	12	11
347932	2250352	224	8745	1283	42603	346425	2199004	41842	0	12	12
347460	2471110	76	3938	614	24310	346770	2442862	42314	0	12	13
227372	1655590	9209	424445	4408	152582	213755	1078563	162402	0	12	14
354438	2750932	321	14048	1687	58485	352430	2678399	35336	0	12	15
322184	2081774	122	5489	12002	493280	310060	1583005	67590	0	12	16
353340	2704004	70	3927	350	13647	352920	2686430	36434	0	12	17
353436	2460105	77	3807	579	21930	352780	2434368	36338	0	12	18
320372	2117843	91	4281	11591	480742	308690	1632820	69402	0	12	19
374014	2944720	49	2979	293	13038	373672	2928703	15760	0	13	0
350406	2597016	453	21325	9700	440745	340253	2134946	39368	0	13	1
345255	2374388	55	3041	256	10905	344944	2360442	44519	0	13	2
314578	1938701	52	2566	1240	46607	313286	1889528	75196	0	13	3
329804	2219100	62	2845	535	21735	329207	2194520	59970	0	13	4
353626	2651631	416	19808	9679	449721	343531	2182102	36148	0	13	5
328168	2234491	60	3383	9457	442616	318651	1788492	61606	0	13	6
347005	2480393	58	3331	1232	50797	345715	2426265	42769	0	13	7
351929	2478184	216	10039	1327	52322	350386	2415823	37845	0	13	8
362505	2575651	50	2633	460	19780	361995	2553238	27269	0	13	9
352023	2574066	59	3029	570	23003	351394	2548034	37751	0	13	10
347541	2435471	214	9504	1293	49060	346034	2376907	42233	0	13	11
309135	2026315	71	3405	1423	54700	307641	1968210	80639	0	13	12
231922	1844275	9546	493681	4626	179392	217750	1171202	157852	0	13	13
352563	2387803	58	2856	1258	48596	351247	2336351	37211	0	13	14
360041	2790571	64	3311	366	14304	359611	2772956	29733	0	13	15
354824	2606209	67	3824	465	20929	354292	2581456	34950	0	13	16
367844	2940179	54	3372	292	12960	367498	2923847	21930	0	13	17
360421	2712716	47	2622	302	12792	360072	2697302	29353	0	13	18
318985	2132151	431	19373	9756	442394	308798	1670384	70789	0	13	19
371314	3057358	61	3834	326	14626	370927	3038898	18460	0	14	0
321584	2117889	47	2484	1123	47384	320414	2068021	68190	0	14	1
368423	3025219	57	3929	288	14569	368078	3006721	21351	0	14	2
370305	3007828	53	3155	316	14363	369936	2990310	19469	0	14	3
319712	2163667	52	2863	1167	50710	318493	2110094	70062	0	14	4
367750	2969100	64	3740	334	15453	367352	2949907	22024	0	14	5
358695	2471444	40	2161	246	10697	358409	2458586	31079	0	14	6
357249	3031181	296	13998	1665	70752	355288	2946431	32525	0	14	7
334148	2264367	65	3572	9468	459431	324615	1801364	55626	0	14	8
352620	2568357	53	2841	317	13322	352250	2552194	37154	0	14	9
345811	2472423	1126	49624	8776	407352	335909	2015447	43963	0	14	10
358799	2663580	52	3023	445	20382	358302	2640175	30975	0	14	11
312757	2077867	1106	48338	8601	408041	303050	1621488	77017	0	14	12
364399	3026492	54	3098	314	14206	364031	3009188	25375	0	14	13
350656	2573359	67	3818	1527	63549	349062	2505992	39118	0	14	14
354451	2427637	35	1788	226	9554	354190	2416295	35323	0	14	15
360838	3000905	224	11408	1393	59223	359221	2930274	28936	0	14	16
361231	2538980	37	2073	249	11127	360945	2525780	28543	0	14	17
349840	2452740	51	2932	251	11211	349538	2438597	39934	0	14	18
354982	2507443	47	2660	1146	48643	353789	2456140	34792	0	14	19
361758	2722258	44	2522	1117	52751	360597	2666985	28016	0	15	0
368858	3160694	237	12987	1322	61629	367299	3086078	20916	0	15	1
375707	3083849	46	2762	284	13903	375377	3067184	14067	0	15	2
360230	2603739	35	1971	235	10947	359960	2590821	29544	0	15	3
359165	2560544	37	2129	260	11857	358868	2546558	30609	0	15	4
376466	3128824	45	2782	287	14593	376134	3111449	13308	0	15	5
352932	2740053	1156	58599	8841	477129	342935	2204325	36842	0	15	6
375597	3221420	219	12752	1266	60618	374112	3148050	14177	0	15	7
357257	2738225	369	19145	8781	442956	348107	2276124	32517	0	15	8
376841	3162913	44	3182	263	13810	376534	3145921	12933	0	15	9
359788	2643333	47	2653	1198	54105	358543	2586575	29986	0	15	10
379231	3100669	44	2761	250	12898	378937	3085010	10543	0	15	11
364165	2919009	51	3394	422	22174	363692	2893441	25609	0	15	12
374837	3110869	41	2790	257	13574	374539	3094505	14937	0	15	13
360603	2642541	40	2191	1086	49112	359477	2591238	29171	0	15	14
365017	2683390	34	2011	252	12063	364731	2669316	24757	0	15	15
350177	2594680	50	2761	303	13111	349824	2578808	39597	0	15	16
354422	2676102	56	3272	308	14051	354058	2658779	35352	0	15	17
341503	2383068	45	2450	396	19739	341062	2360879	48271	0	15	18
378768	3132859	38	2322	235	12080	378495	3118457	11006	0	15	19
347315	2539685	43	2614	412	21402	346860	2515669	42459	0	16	0
371020	2987693	41	2755	406	22195	370573	2962743	18754	0	16	1
367432	2884021	41	2671	403	21315	366988	2860035	22342	0	16	2
373010	2999340	40	2742	408	22336	372562	2974262	16764	0	16	3
365577	2828543	40	2419	226	12029	365311	2814095	24197	0	16	4
375745	3302135	55	3464	293	15317	375397	3283354	14029	0	16	5
374172	3093754	38	2375	244	12602	373890	3078777	15602	0	16	6
356083	2833906	238	12512	1430	67918	354415	2753476	33691	0	16	7
368806	2887254	35	2213	387	20962	368384	2864079	20968	0	16	8
373251	3292279	53	3528	309	16224	372889	3272527	16523	0	16	9
369566	2963700	44	2862	423	23190	369099	2937648	20208	0	16	10
374357	3032717	36	2358	408	22509	373913	3007850	15417	0	16	11
377302	3312888	53	3648	295	15447	376954	3293793	12472	0	16	12
376597	3115696	37	2334	223	11755	376337	3101607	13177	0	16	13
341773	2591353	63	4198	9339	541870	332371	2045285	48001	0	16	14
375038	3115231	39	2603	226	11709	374773	3100919	14736	0	16	15
373669	3151047	44	2905	256	13739	373369	3134403	16105	0	16	16
370293	3308460	252	14053	1480	72517	368561	3221890	19481	0	16	17
365568	2710100	33	2068	232	11603	365303	2696429	24206	0	16	18
370301	3095134	192	10483	1185	55173	368924	3029478	19473	0	16	19
359930	2931398	41	2777	1081	58538	358808	2870083	29844	0	17	0
355729	3039482	1275	70612	8854	546678	345600	2422192	34045	0	17	1
383608	3415647	44	3311	235	13972	383329	3398364	6166	0	17	2
381220	3292572	34	2343	223	12534	380963	3277695	8554	0	17	3
364411	2906771	35	2382	227	12458	364149	2891931	25363	0	17	4
376639	3158673	44	3160	402	24106	376193	3131407	13135	0	17	5
368372	2993861	43	3045	1089	59007	367240	2931809	21402	0	17	6
382340	3385531	40	3071	242	14448	382058	3368012	7434	0	17	7
381147	3303659	39	2628	220	12609	380888	3288422	8627	0	17	8
378780	3282934	39	2831	233	13734	378508	3266369	10994	0	17	9
361684	2867170	41	2692	1086	57194	360557	2807284	28090	0	17	10
383081	3359045	33	2318	222	13141	382826	3343586	6693	0	17	11
376396	3163795	39	2856	405	23875	375952	3137064	13378	0	17	12
382493	3342556	40	2889	232	13286	382221	3326381	7281	0	17	13
371798	2959823	36	2470	233	12972	371529	2944381	17976	0	17	14
373281	3446459	196	12298	1229	66685	371856	3367476	16493	0	17	15
356536	2994752	1044	59424	8110	501598	347382	2433730	33238	0	17	16
384449	3399040	32	2243	223	13172	384194	3383625	5325	0	17	17
374497	3369354	48	3354	287	15921	374162	3350079	15277	0	17	18
362444	2941017	203	11883	1257	65382	360984	2863752	27330	0	17	19
385283	3491226	33	2474	220	13864	385030	3474888	4491	0	18	0
383873	3512105	39	2937	241	14829	383593	3494339	5901	0	18	1
386000	3507720	33	2593	228	14051	385739	3491076	3774	0	18	2
370029	3137153	38	2856	1083	63062	368908	3071235	19745	0	18	3
387134	3548848	34	2640	227	14010	386873	3532198	2640	0	18	4
366707	3068340	38	2682	1069	61729	365600	3003929	23067	0	18	5
378600	3280227	34	2482	385	23986	378181	3253759	11174	0	18	6
385065	3475012	31	2304	214	13210	384820	3459498	4709	0	18	7
