Orthogroups	Group	number_genotypes
280	Softcore	12
499	Softcore	12
10585	Softcore	12
605	Softcore	12
1912	Softcore	12
1283	Softcore	12
614	Softcore	12
4408	Softcore	12
1687	Softcore	12
12002	Softcore	12
350	Softcore	12
579	Softcore	12
11591	Softcore	12
293	Softcore	13
9700	Softcore	13
256	Softcore	13
1240	Softcore	13
535	Softcore	13
9679	Softcore	13
9457	Softcore	13
1232	Softcore	13
1327	Softcore	13
460	Softcore	13
570	Softcore	13
1293	Softcore	13
1423	Softcore	13
4626	Softcore	13
1258	Softcore	13
366	Softcore	13
465	Softcore	13
292	Softcore	13
302	Softcore	13
9756	Softcore	13
326	Softcore	14
1123	Softcore	14
288	Softcore	14
316	Softcore	14
1167	Softcore	14
334	Softcore	14
246	Softcore	14
1665	Softcore	14
9468	Softcore	14
317	Softcore	14
8776	Softcore	14
445	Softcore	14
8601	Softcore	14
314	Softcore	14
1527	Softcore	14
226	Softcore	14
1393	Softcore	14
249	Softcore	14
251	Softcore	14
1146	Softcore	14
1117	Softcore	15
1322	Softcore	15
284	Softcore	15
235	Softcore	15
260	Softcore	15
287	Softcore	15
8841	Softcore	15
1266	Softcore	15
8781	Softcore	15
263	Softcore	15
1198	Softcore	15
250	Softcore	15
422	Softcore	15
257	Softcore	15
1086	Softcore	15
252	Softcore	15
303	Softcore	15
308	Softcore	15
396	Softcore	15
235	Softcore	15
412	Softcore	16
406	Softcore	16
403	Softcore	16
408	Softcore	16
226	Softcore	16
293	Softcore	16
244	Softcore	16
1430	Softcore	16
387	Softcore	16
309	Softcore	16
423	Softcore	16
408	Softcore	16
295	Softcore	16
223	Softcore	16
9339	Softcore	16
226	Softcore	16
256	Softcore	16
1480	Softcore	16
232	Softcore	16
1185	Softcore	16
1081	Softcore	17
8854	Softcore	17
235	Softcore	17
223	Softcore	17
227	Softcore	17
402	Softcore	17
1089	Softcore	17
242	Softcore	17
220	Softcore	17
233	Softcore	17
1086	Softcore	17
222	Softcore	17
405	Softcore	17
232	Softcore	17
233	Softcore	17
1229	Softcore	17
8110	Softcore	17
223	Softcore	17
287	Softcore	17
1257	Softcore	17
220	Softcore	18
241	Softcore	18
228	Softcore	18
1083	Softcore	18
227	Softcore	18
1069	Softcore	18
385	Softcore	18
214	Softcore	18
231	Softcore	18
228	Softcore	18
1156	Softcore	18
210	Softcore	18
268	Softcore	18
215	Softcore	18
231	Softcore	18
237	Softcore	18
213	Softcore	18
270	Softcore	18
256	Softcore	18
219	Softcore	18
211	Softcore	19
215	Softcore	19
210	Softcore	19
213	Softcore	19
214	Softcore	19
374	Softcore	19
215	Softcore	19
213	Softcore	19
223	Softcore	19
1051	Softcore	19
210	Softcore	19
214	Softcore	19
215	Softcore	19
374	Softcore	19
223	Softcore	19
223	Softcore	19
215	Softcore	19
231	Softcore	19
211	Softcore	19
214	Softcore	19
0	Accessory	1
0	Accessory	1
0	Accessory	1
0	Accessory	1
0	Accessory	1
0	Accessory	1
0	Accessory	1
0	Accessory	1
0	Accessory	1
0	Accessory	1
0	Accessory	1
0	Accessory	1
0	Accessory	1
0	Accessory	1
0	Accessory	1
0	Accessory	1
0	Accessory	1
0	Accessory	1
0	Accessory	1
0	Accessory	1
65280	Accessory	2
182405	Accessory	2
89102	Accessory	2
50221	Accessory	2
93758	Accessory	2
51949	Accessory	2
55870	Accessory	2
51093	Accessory	2
166419	Accessory	2
167669	Accessory	2
46943	Accessory	2
57727	Accessory	2
116668	Accessory	2
88574	Accessory	2
58569	Accessory	2
98867	Accessory	2
99606	Accessory	2
199581	Accessory	2
177084	Accessory	2
58215	Accessory	2
105914	Accessory	3
94675	Accessory	3
95771	Accessory	3
86007	Accessory	3
102315	Accessory	3
93339	Accessory	3
86908	Accessory	3
78339	Accessory	3
218969	Accessory	3
75065	Accessory	3
199978	Accessory	3
220330	Accessory	3
88919	Accessory	3
84547	Accessory	3
141575	Accessory	3
132590	Accessory	3
93250	Accessory	3
78539	Accessory	3
90424	Accessory	3
111975	Accessory	3
144672	Accessory	4
265158	Accessory	4
118605	Accessory	4
223474	Accessory	4
154197	Accessory	4
156940	Accessory	4
135002	Accessory	4
107868	Accessory	4
153729	Accessory	4
118134	Accessory	4
222216	Accessory	4
265741	Accessory	4
226990	Accessory	4
250593	Accessory	4
135191	Accessory	4
239470	Accessory	4
99405	Accessory	4
109529	Accessory	4
276005	Accessory	4
111872	Accessory	4
246625	Accessory	5
227579	Accessory	5
248904	Accessory	5
173222	Accessory	5
131058	Accessory	5
227579	Accessory	5
123656	Accessory	5
232371	Accessory	5
227812	Accessory	5
277282	Accessory	5
130436	Accessory	5
265540	Accessory	5
271004	Accessory	5
232233	Accessory	5
248043	Accessory	5
261831	Accessory	5
117866	Accessory	5
135789	Accessory	5
181667	Accessory	5
128103	Accessory	5
250099	Accessory	6
268718	Accessory	6
266771	Accessory	6
161911	Accessory	6
150873	Accessory	6
278272	Accessory	6
297505	Accessory	6
266201	Accessory	6
296594	Accessory	6
279726	Accessory	6
303532	Accessory	6
272069	Accessory	6
169035	Accessory	6
261154	Accessory	6
253888	Accessory	6
285044	Accessory	6
258720	Accessory	6
274757	Accessory	6
267894	Accessory	6
274764	Accessory	6
266919	Accessory	7
280232	Accessory	7
186385	Accessory	7
145701	Accessory	7
187351	Accessory	7
266359	Accessory	7
137747	Accessory	7
258934	Accessory	7
271071	Accessory	7
307025	Accessory	7
259672	Accessory	7
175597	Accessory	7
236713	Accessory	7
265366	Accessory	7
315513	Accessory	7
167955	Accessory	7
286155	Accessory	7
259392	Accessory	7
305258	Accessory	7
260667	Accessory	7
305907	Accessory	8
295735	Accessory	8
309852	Accessory	8
289531	Accessory	8
266674	Accessory	8
295551	Accessory	8
276929	Accessory	8
273625	Accessory	8
313342	Accessory	8
281931	Accessory	8
260387	Accessory	8
293684	Accessory	8
311070	Accessory	8
274378	Accessory	8
272926	Accessory	8
297299	Accessory	8
275503	Accessory	8
313499	Accessory	8
292748	Accessory	8
319724	Accessory	8
335373	Accessory	9
303993	Accessory	9
226009	Accessory	9
335342	Accessory	9
328167	Accessory	9
288086	Accessory	9
311603	Accessory	9
277983	Accessory	9
290691	Accessory	9
182268	Accessory	9
325160	Accessory	9
276387	Accessory	9
336457	Accessory	9
334396	Accessory	9
305720	Accessory	9
306885	Accessory	9
318459	Accessory	9
289901	Accessory	9
208930	Accessory	9
269442	Accessory	9
219879	Accessory	10
310945	Accessory	10
286631	Accessory	10
338654	Accessory	10
286508	Accessory	10
330990	Accessory	10
319656	Accessory	10
323683	Accessory	10
340795	Accessory	10
271126	Accessory	10
320747	Accessory	10
333776	Accessory	10
334217	Accessory	10
343384	Accessory	10
302419	Accessory	10
319571	Accessory	10
326400	Accessory	10
331428	Accessory	10
295746	Accessory	10
327842	Accessory	10
313891	Accessory	11
348222	Accessory	11
327693	Accessory	11
288550	Accessory	11
293416	Accessory	11
318387	Accessory	11
311176	Accessory	11
281156	Accessory	11
319019	Accessory	11
329435	Accessory	11
340427	Accessory	11
352060	Accessory	11
305442	Accessory	11
325304	Accessory	11
351156	Accessory	11
229934	Accessory	11
321928	Accessory	11
310658	Accessory	11
323775	Accessory	11
300167	Accessory	11
338110	Accessory	12
345652	Accessory	12
345494	Accessory	12
221824	Accessory	12
313111	Accessory	12
284066	Accessory	12
318369	Accessory	12
349391	Accessory	12
329925	Accessory	12
317167	Accessory	12
325106	Accessory	12
328354	Accessory	12
346425	Accessory	12
346770	Accessory	12
213755	Accessory	12
352430	Accessory	12
310060	Accessory	12
352920	Accessory	12
352780	Accessory	12
308690	Accessory	12
373672	Accessory	13
340253	Accessory	13
344944	Accessory	13
313286	Accessory	13
329207	Accessory	13
343531	Accessory	13
318651	Accessory	13
345715	Accessory	13
350386	Accessory	13
361995	Accessory	13
351394	Accessory	13
346034	Accessory	13
307641	Accessory	13
217750	Accessory	13
351247	Accessory	13
359611	Accessory	13
354292	Accessory	13
367498	Accessory	13
360072	Accessory	13
308798	Accessory	13
370927	Accessory	14
320414	Accessory	14
368078	Accessory	14
369936	Accessory	14
318493	Accessory	14
367352	Accessory	14
358409	Accessory	14
355288	Accessory	14
324615	Accessory	14
352250	Accessory	14
335909	Accessory	14
358302	Accessory	14
303050	Accessory	14
364031	Accessory	14
349062	Accessory	14
354190	Accessory	14
359221	Accessory	14
360945	Accessory	14
349538	Accessory	14
353789	Accessory	14
360597	Accessory	15
367299	Accessory	15
375377	Accessory	15
359960	Accessory	15
358868	Accessory	15
376134	Accessory	15
342935	Accessory	15
374112	Accessory	15
348107	Accessory	15
376534	Accessory	15
358543	Accessory	15
378937	Accessory	15
363692	Accessory	15
374539	Accessory	15
359477	Accessory	15
364731	Accessory	15
349824	Accessory	15
354058	Accessory	15
341062	Accessory	15
378495	Accessory	15
346860	Accessory	16
370573	Accessory	16
366988	Accessory	16
372562	Accessory	16
365311	Accessory	16
375397	Accessory	16
373890	Accessory	16
354415	Accessory	16
368384	Accessory	16
372889	Accessory	16
369099	Accessory	16
373913	Accessory	16
376954	Accessory	16
376337	Accessory	16
332371	Accessory	16
374773	Accessory	16
373369	Accessory	16
368561	Accessory	16
365303	Accessory	16
368924	Accessory	16
358808	Accessory	17
345600	Accessory	17
383329	Accessory	17
380963	Accessory	17
364149	Accessory	17
376193	Accessory	17
367240	Accessory	17
382058	Accessory	17
380888	Accessory	17
378508	Accessory	17
360557	Accessory	17
382826	Accessory	17
375952	Accessory	17
382221	Accessory	17
371529	Accessory	17
371856	Accessory	17
347382	Accessory	17
384194	Accessory	17
374162	Accessory	17
